Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2026-01-17,A Nonsense Christmas with Sabrina Carpenter,2024,https://boxd.it/cFcait,5,,,2024-12-20
2026-01-11,Five Nights at Freddy's 2,2025,https://boxd.it/czcMI1,2,,,2026-01-10
2026-01-11,Kill Bill: Vol. 1,2003,https://boxd.it/czcOSx,4,,,2026-01-10
2026-01-11,The Perks of Being a Wallflower,2012,https://boxd.it/czcUJh,5,,,2026-01-10
2026-01-11,Kill Bill: Vol. 2,2004,https://boxd.it/czd3Cp,3,,,2026-01-10
2026-01-16,Back to the Future,1985,https://boxd.it/cFbKhJ,5,Yes,,2026-01-16
2026-01-16,Pulp Fiction,1994,https://boxd.it/cFbKGJ,2,,,2026-01-16
2026-01-17,Forrest Gump,1994,https://boxd.it/cFbQQF,3,,,2026-01-16
2026-01-17,The Truman Show,1998,https://boxd.it/cFbSKf,4,,,2026-01-16
2026-01-17,10 Things I Hate About You,1999,https://boxd.it/cFbUuN,5,,,2026-01-16
2026-01-17,(500) Days of Summer,2009,https://boxd.it/cFc6dT,5,Yes,,2026-01-16
2026-01-17,The Queen's Gambit,2020,https://boxd.it/cFcnZP,4,,,2026-01-16
2026-01-22,Stranger Things 5: The Finale,2025,https://boxd.it/cKIc4R,4,,,2026-01-21
2026-01-25,Superbad,2007,https://boxd.it/cNKxu3,4,,,2026-01-24
2026-02-06,The Muppet Show,2026,https://boxd.it/d0FVaN,5,,,2026-02-06
2026-04-29,EuroTrip,2004,https://boxd.it/e9FBTx,5,,,2026-04-28
2026-05-29,The Quintessential Quintuplets Movie,2022,https://boxd.it/eyraHV,5,,,2026-05-29
