Date,Name,Year,Letterboxd URI
2026-01-11,Interstellar,2014,https://boxd.it/4VZ8
2026-01-11,Fight Club,1999,https://boxd.it/2a9q
2026-01-11,The Truman Show,1998,https://boxd.it/18U8
2026-01-11,Oppenheimer,2023,https://boxd.it/wUow
2026-01-11,Inception,2010,https://boxd.it/1skk
2026-01-11,10 Things I Hate About You,1999,https://boxd.it/23AO
2026-01-11,(500) Days of Summer,2009,https://boxd.it/1EmM
2026-01-11,Kill Bill: Vol. 1,2003,https://boxd.it/70w
2026-01-11,How to Lose a Guy in 10 Days,2003,https://boxd.it/1XwG
2026-01-11,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8
2026-01-11,It,2017,https://boxd.it/bC8e
2026-01-11,Kill Bill: Vol. 2,2004,https://boxd.it/2au4
2026-01-11,13 Going on 30,2004,https://boxd.it/1X6e
2026-01-12,Mean Girls,2004,https://boxd.it/1VNg
2026-01-12,Back to the Future,1985,https://boxd.it/2b8e
2026-01-17,A Nonsense Christmas with Sabrina Carpenter,2024,https://boxd.it/QkR8
2026-01-17,The Queen's Gambit,2020,https://boxd.it/s1Ym
2026-01-22,Stranger Things 5: The Finale,2025,https://boxd.it/YqXW
2026-02-06,The Muppet Show,2026,https://boxd.it/XGno
2026-04-28,Jurassic Park,1993,https://boxd.it/2aA2
2026-04-28,EuroTrip,2004,https://boxd.it/1YTQ
2026-05-29,The Quintessential Quintuplets∽,2023,https://boxd.it/HEt8
2026-05-29,The Quintessential Quintuplets＊,2024,https://boxd.it/N6Yo
2026-05-29,The Quintessential Quintuplets Movie,2022,https://boxd.it/uUj8
2026-06-16,Michael,2026,https://boxd.it/zi5M
