Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2026-01-11,Five Nights at Freddy's 2,2025,https://boxd.it/czcMI1,2,,Not Lore Accurate,,2026-01-10
2026-01-11,Kill Bill: Vol. 1,2003,https://boxd.it/czcOSx,4,,Kinda liked it,,2026-01-10
2026-01-11,The Perks of Being a Wallflower,2012,https://boxd.it/czcUJh,5,,"I love it, i think its one of the greatest movies of all time",,2026-01-10
2026-01-11,Kill Bill: Vol. 2,2004,https://boxd.it/czd3Cp,3,,Bit worse than 1 in my opinion,,2026-01-10
2026-01-16,Back to the Future,1985,https://boxd.it/cFbKhJ,5,Yes,Peak Movie. Absolute Cinema.,,2026-01-16
2026-01-16,Pulp Fiction,1994,https://boxd.it/cFbKGJ,2,,Overrated.,,2026-01-16
2026-01-17,Forrest Gump,1994,https://boxd.it/cFbQQF,3,,"Good Movie, Bit boring Sometimes",,2026-01-16
2026-01-17,The Truman Show,1998,https://boxd.it/cFbSKf,4,,Very Interesting Movie and great acting by the cast,,2026-01-16
2026-01-17,10 Things I Hate About You,1999,https://boxd.it/cFbUuN,5,,Very good acting and Story was just unbeliveable. I love the chemestry of the cast. R.I.P Heath Ledger...,,2026-01-16
2026-01-17,(500) Days of Summer,2009,https://boxd.it/cFc6dT,5,Yes,One of my favourite movies of all time. Great acting by Joseph Gordon-Levitt and Zooey Deschanel. I'd even come out and say one of the greatest movies of all time.,,2026-01-16
2026-01-17,A Nonsense Christmas with Sabrina Carpenter,2024,https://boxd.it/cFcait,5,,Best Christmas Special. EVER,,2024-12-20
2026-01-17,The Queen's Gambit,2020,https://boxd.it/cFcnZP,4,,Very good Series about chess and addiction. Once in school held a presentation about it and got 98/100. Love it and also love the Book.,,2026-01-16
2026-01-22,Stranger Things 5: The Finale,2025,https://boxd.it/cKIc4R,4,,"In all candor, the subject has been exaggerated to an undue degree. It is my estimation that the conclusion is satisfactory. The decision not to terminate the character of Steve was a satisfactory one. It is evident that the creators of this film employed a meticulous approach in crafting a compelling narrative, culminating in a resolution that is both satisfying and uplifting.",,2026-01-21
2026-01-25,Superbad,2007,https://boxd.it/cNKxu3,4,,Very funny. People say i look like mclovin 😭,,2026-01-24
2026-02-06,The Muppet Show,2026,https://boxd.it/d0FVaN,5,,SABRINA F#CKING CARPENTER U COOOED,,2026-02-06
2026-04-29,EuroTrip,2004,https://boxd.it/e9FBTx,5,,"Such a Great movie, really comforting. loads of n#dity  so dont recommend for minors.",,2026-04-28
2026-05-29,The Quintessential Quintuplets Movie,2022,https://boxd.it/eyraHV,5,,"ABSOLUTE CINEMA
My Queen Miku got Robbed tho.",,2026-05-29
