Date,Name,Year,Letterboxd URI
2026-01-11,La La Land,2016,https://boxd.it/a5fa
2026-01-11,Dead Poets Society,1989,https://boxd.it/2aSg
2026-01-11,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O
2026-01-12,The Housemaid,2025,https://boxd.it/QFEO
2026-01-12,Avatar: Fire and Ash,2025,https://boxd.it/2W7s
2026-01-12,Zootopia 2,2025,https://boxd.it/F0vO
2026-01-12,Good Will Hunting,1997,https://boxd.it/2ahY
2026-01-12,Whiplash,2014,https://boxd.it/7bQA
2026-01-12,The Notebook,2004,https://boxd.it/1UNE
2026-01-12,American Psycho,2000,https://boxd.it/28Vs
2026-01-12,Challengers,2024,https://boxd.it/zld0
2026-01-12,The Hunger Games,2012,https://boxd.it/2uds
2026-01-12,The Hunger Games: Catching Fire,2013,https://boxd.it/3sAw
2026-01-12,The Shining,1980,https://boxd.it/29Nu
2026-06-16,Backrooms,2026,https://boxd.it/EY6W
